,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
87,bertoua,cm,4.58,13.68,61.11,57,12,5.28
88,lindi,tz,-10.0,39.72,74.43,87,0,4.05
89,cidreira,br,-30.18,-50.21,59.67,95,0,0.92
91,lixourion,gr,38.2,20.43,58.5,100,48,16.02
92,beringovskiy,ru,63.05,179.32,9.63,100,92,32.57
93,kirando,tz,-7.42,30.6,68.58,100,24,4.38
95,matara,lk,5.95,80.54,76.09,100,92,5.73
96,naze,jp,28.37,129.48,68.0,88,75,13.87
97,myingyan,mm,21.47,95.38,77.0,88,75,2.24
98,aklavik,ca,68.22,-135.01,-5.81,76,5,4.7
99,hambantota,lk,6.12,81.12,76.99,100,92,11.65
100,srednekolymsk,ru,67.45,153.68,-17.29,49,0,3.71
105,grandview,us,38.89,-94.53,51.8,49,1,6.93
106,poum,nc,-20.23,164.02,78.43,98,44,7.29
107,tuktoyaktuk,ca,69.45,-133.04,-7.61,76,5,6.93
109,terrace bay,ca,48.78,-87.1,23.98,100,12,16.46
110,bambous virieux,mu,-20.34,57.76,78.8,74,75,12.75
113,kruisfontein,za,-34.0,24.73,61.2,88,100,1.03
115,hobart,au,-42.88,147.33,69.8,52,20,12.75
116,port alfred,za,-33.59,26.89,59.76,100,88,5.95
117,broome,au,-17.97,122.23,89.6,62,20,12.75
120,yuanping,cn,38.72,112.76,36.63,46,0,3.49
121,sibu,my,2.3,111.82,84.2,79,75,4.7
122,puerto ayora,ec,-0.74,-90.35,69.75,100,0,10.87
123,ponta do sol,pt,32.67,-17.1,69.8,94,75,16.11
124,kodiak,us,57.79,-152.41,33.8,100,90,4.7
126,nanga eboko,cm,4.68,12.37,64.62,80,8,2.59
128,alyangula,au,-13.85,136.42,81.58,100,76,10.2
130,melnikovo,ru,56.56,84.08,-5.27,71,44,6.4
131,vao,nc,-22.67,167.48,74.83,97,88,18.03
134,shimoda,jp,34.67,138.95,59.0,62,40,17.22
135,maragogi,br,-9.01,-35.22,73.71,94,80,4.05
138,gazimurskiy zavod,ru,51.55,118.33,5.98,80,80,2.93
140,mbanza-ngungu,cd,-5.25,14.87,63.72,96,48,2.37
141,chokurdakh,ru,70.63,147.92,5.58,89,64,14.23
143,matay,eg,28.42,30.78,45.63,83,0,2.71
146,korla,cn,41.76,86.15,17.19,75,0,2.82
147,bethel,us,41.37,-73.41,39.2,64,1,6.93
149,qingyuan,cn,23.7,113.03,64.4,63,0,4.47
151,coquimbo,cl,-29.95,-71.34,55.4,87,75,3.36
153,logansport,us,40.75,-86.36,41.0,86,1,8.05
155,hamilton,bm,32.29,-64.78,71.6,73,20,8.05
157,la rioja,ar,-29.41,-66.85,73.98,45,0,5.84
158,ancona,it,43.6,13.51,48.2,100,75,18.34
160,torbay,ca,47.67,-52.73,46.4,93,75,21.92
161,padang,id,-0.95,100.35,82.21,100,32,19.6
162,shingu,jp,33.73,135.98,59.0,58,0,3.36
164,pacifica,us,37.61,-122.49,62.6,77,90,8.05
165,pizarro,co,4.95,-77.37,74.79,100,92,2.59
166,la spezia,it,44.11,9.84,32.0,100,0,6.93
170,lancaster,us,34.7,-118.14,71.6,34,1,19.46
174,dingle,ie,52.14,-10.27,50.94,100,88,19.71
175,severo-kurilsk,ru,50.68,156.12,26.46,100,56,18.81
176,avarua,ck,-21.21,-159.78,77.0,73,75,14.99
177,tabou,ci,4.42,-7.35,79.96,100,64,7.52
178,ipora,br,-16.44,-51.12,74.16,78,56,3.49
185,hilo,us,19.73,-155.09,71.6,83,90,23.73
187,kapaa,us,22.08,-159.32,80.6,83,75,18.34
188,capinopolis,br,-18.68,-49.57,69.79,91,68,2.71
190,carnarvon,au,-24.87,113.63,73.98,89,0,14.23
191,tumut,au,-35.3,148.22,67.18,89,76,3.15
199,tasiilaq,gl,65.61,-37.64,26.6,73,0,8.05
